Hillary,Trump,total,county_name,state_abbreviation
2433,5330,7838,Emanuel County,GA
1130,2404,3602,Evans County,GA
1920,9622,11764,Fannin County,GA
23255,35034,60387,Fayette County,GA
9127,24045,34250,Floyd County,GA
23427,69801,97314,Forsyth County,GA
1243,7054,8474,Franklin County,GA
281875,110372,407173,Fulton County,GA
1955,10465,12713,Gilmer County,GA
138,1235,1390,Glascock County,GA
11738,21482,34041,Glynn County,GA
3176,15171,18850,Gordon County,GA
3005,6047,9187,Grady County,GA
3194,5488,8831,Greene County,GA
165063,146463,323931,Gwinnett County,GA
2483,13184,16128,Habersham County,GA
16153,51681,70133,Hall County,GA
2695,841,3572,Hancock County,GA
1474,9579,11317,Haralson County,GA
4082,11931,16392,Harris County,GA
2583,7285,10077,Hart County,GA
743,3370,4206,Heard County,GA
49902,45641,98037,Henry County,GA
22460,35351,59559,Houston County,GA
890,2711,3659,Irwin County,GA
4469,21754,27057,Jackson County,GA
1544,4353,6016,Jasper County,GA
901,4102,5089,Jeff Davis County,GA
3809,3057,6934,Jefferson County,GA
1108,1892,3034,Jenkins County,GA
1136,2519,3682,Johnson County,GA
3960,8304,12524,Jones County,GA
2267,5183,7575,Lamar County,GA
805,1984,2861,Lanier County,GA
6737,12401,19448,Laurens County,GA
3166,10641,14106,Lee County,GA
9531,6125,16082,Liberty County,GA
1271,2759,4100,Lincoln County,GA
1356,2623,4109,Long County,GA
14614,21308,36813,Lowndes County,GA
2216,9613,12324,Lumpkin County,GA
2705,1540,4287,Macon County,GA
2423,9195,11945,Madison County,GA
1213,1921,3183,Marion County,GA
3699,5432,9268,McDuffie County,GA
2298,3482,5893,McIntosh County,GA
3800,5216,9181,Meriwether County,GA
622,1888,2540,Miller County,GA
3492,4272,7857,Mitchell County,GA
3570,8821,12675,Monroe County,GA
847,2668,3560,Montgomery County,GA
2658,6559,9435,Morgan County,GA
1799,10340,12422,Murray County,GA
39602,26901,68320,Muscogee County,GA
21936,20907,43787,Newton County,GA
5253,12885,19030,Oconee County,GA
1829,4622,6650,Oglethorpe County,GA
18004,44646,64601,Paulding County,GA
5083,5405,10699,Peach County,GA
1977,11651,13982,Pickens County,GA
903,6301,7297,Pierce County,GA
1239,7273,8675,Pike County,GA
2863,11006,14158,Polk County,GA
1104,2436,3598,Pulaski County,GA
2745,6516,9431,Putnam County,GA
461,575,1044,Quitman County,GA
1443,6287,7949,Rabun County,GA
1597,1270,2895,Randolph County,GA
48707,24441,74952,Richmond County,GA
23206,13463,37589,Rockdale County,GA
401,1472,1909,Schley County,GA
2300,3305,5699,Screven County,GA
1186,2343,3577,Seminole County,GA
9347,15636,25940,Spalding County,GA
1835,7682,9760,Stephens County,GA
1220,805,2053,Stewart County,GA
5520,5275,10973,Sumter County,GA
2001,1196,3243,Talbot County,GA
545,349,897,Taliaferro County,GA
1678,5092,6879,Tattnall County,GA
